System;name;L;a;b;R;G;B;hex
Pantone;348C;44;-63;25;0;126;58;#007E3A
Pantone;349C;35;-43;18;0;98;51;#006233
Pantone;350C;26;-22;11;24;71;44;#18472C
Pantone;351C;86;-26;10;167;230;196;#A7E6C4
Pantone;352C;83;-36;15;135;224;176;#87E0B0
Pantone;353C;80;-44;18;106;220;162;#6ADCA2
Pantone;354C;58;-82;42;0;171;57;#00AB39
Pantone;355C;51;-72;38;0;149;48;#009530
Pantone;356C;40;-54;29;0;114;41;#007229
Pantone;357C;28;-27;15;15;77;42;#0F4D2A
Pantone;358C;82;-28;30;165;219;146;#A5DB92
Pantone;359C;81;-30;32;159;217;139;#9FD98B
Pantone;360C;69;-49;49;85;190;71;#55BE47
Pantone;361C;62;-57;52;18;173;43;#12AD2B
Pantone;362C;55;-48;46;40;151;40;#289728
Pantone;363C;50;-42;42;47;137;39;#2F8927
Pantone;364C;42;-33;35;49;112;35;#317023
Pantone;365C;88;-17;30;204;229;162;#CCE5A2
Pantone;366C;85;-23;37;188;225;141;#BCE18D
Pantone;367C;81;-31;49;164;216;103;#A4D867
Pantone;368C;69;-47;64;98;189;25;#62BD19
Pantone;369C;61;-45;61;79;166;0;#4FA600
Pantone;370C;52;-34;51;79;138;16;#4F8A10
Pantone;371C;38;-17;34;74;96;28;#4A601C
Pantone;372C;90;-15;33;215;233;161;#D7E9A1
Pantone;373C;89;-21;45;205;233;133;#CDE985
Pantone;374C;86;-29;59;186;229;95;#BAE55F
Pantone;375C;77;-44;81;135;211;0;#87D300
Pantone;376C;69;-40;75;118;185;0;#76B900
Pantone;377C;55;-28;61;103;144;0;#679000
Pantone;378C;36;-13;37;77;90;18;#4D5A12
Pantone;379C;89;-15;57;221;229;108;#DDE56C
Pantone;380C;86;-19;73;211;225;60;#D3E13C
Pantone;381C;84;-22;82;200;219;0;#C8DB00
Pantone;382C;80;-25;88;182;211;0;#B9D300
Pantone;383C;67;-17;77;159;170;0;#9FAA00
Pantone;384C;58;-13;68;139;144;0;#8B9000
Pantone;385C;44;-6;45;110;106;18;#6E6A12
Pantone;386C;90;-13;58;229;233;110;#E5E96E
Pantone;387C;89;-17;76;222;230;58;#DEE63A
Pantone;388C;87;-20;90;215;227;0;#D7E300
Pantone;389C;84;-24;98;198;219;0;#C6DB00
Pantone;390C;73;-18;90;178;188;0;#B2BC00
Pantone;391C;59;-10;71;149;146;0;#959200
Pantone;392C;50;-6;58;127;120;0;#7F7800
Pantone;393C;92;-9;45;237;235;143;#EDEB8F
Pantone;3935C;92;-9;55;240;235;122;#F0EB7A
Pantone;394C;90;-13;76;233;231;63;#E9E73F
Pantone;3945C;90;-11;90;239;230;0;#EFE600
Pantone;395C;88;-15;93;228;228;0;#E4E400
Pantone;3955C;88;-11;103;236;225;0;#ECE100
Pantone;396C;86;-16;102;221;223;0;#DDDF00
Pantone;3965C;87;-10;107;233;220;0;#E9DC00
